Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
McDonald’s,Chicken McNuggets® (10 piece),Nuggets / Wings / Tenders,470,Mid,270,Mid,30,Low,5,Low,0,Low,65,Low,900,Low,30,Low,2,Low,0,Low,22,Low,453,Mid
McDonald’s,Barbeque Sauce,Condiment / Sauce,50,Low,0,Low,0,Low,0,Low,0,Low,0,Low,260,Low,12,Low,0,Low,10,Low,0,Low,60,Low
McDonald’s,Honey,Other,50,Low,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,12,Low,0,Low,11,Low,0,Low,61,Low
McDonald’s,Hot Mustard Sauce,Condiment / Sauce,60,Low,20,Low,2.5,Low,0,Low,0,Low,5,Low,250,Low,9,Low,2,Low,6,Low,1,Low,65,Low
McDonald’s,Sweet ‘N Sour Sauce,Condiment / Sauce,50,Low,0,Low,0,Low,0,Low,0,Low,0,Low,150,Low,12,Low,0,Low,10,Low,0,Low,60,Low
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),Nuggets / Wings / Tenders,400,Low,210,Low,24,Low,3.5,Low,0,Low,50,Low,1010,Mid,23,Low,0,Low,0,Low,23,Low,380.5,Low
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),Nuggets / Wings / Tenders,660,Mid,360,Mid,40,Mid,6,Low,0,Low,85,Low,1680,Mid,39,Low,0,Low,0,Low,38,Mid,628,Mid
McDonald’s,Spicy Buffalo Sauce,Condiment / Sauce,60,Low,50,Low,6,Low,1,Low,0,Low,0,Low,800,Low,1,Low,1,Low,0,Low,0,Low,61,Low
McDonald’s,Creamy Ranch Sauce,Condiment / Sauce,170,Low,160,Low,18,Low,3,Low,0,Low,10,Low,270,Low,2,Low,0,Low,1,Low,0,Low,174,Low
McDonald’s,Tangy Honey Mustard Sauce,Condiment / Sauce,60,Low,20,Low,2,Low,0,Low,0,Low,5,Low,140,Low,10,Low,0,Low,8,Low,0,Low,68,Low
McDonald’s,Southwestern Chipotle Barbeque Sauce,Condiment / Sauce,60,Low,0,Low,0,Low,0,Low,0,Low,0,Low,210,Low,15,Low,1,Low,11,Low,0,Low,71,Low
