Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
Pizza Hut,Pan Pizza Slices Pepperoni Medium,Pizza,250,Low,30,Low,11,Low,4.5,Low,0,Low,25,Low,470,Low,28,Low,2,Low,1,Low,10,Low,40,Low
Pizza Hut,Pan Pizza Slices Pepperoni Large,Pizza,370,Low,30,Low,18,Low,6,Low,0,Low,35,Low,680,Low,36,Low,2,Low,2,Low,15,Low,40,Low
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Personal Pan,Pizza,180,Low,30,Low,9,Low,3.5,Low,0,Low,20,Low,370,Low,17,Low,1,Low,2,Low,8,Low,40,Low
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Medium,Pizza,300,Low,30,Low,15,Low,6,Low,0,Low,35,Low,580,Low,28,Low,2,Low,1,Low,13,Low,40,Low
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Large,Pizza,440,Mid,30,Low,24,Low,9,Low,0.5,Low,50,Low,850,Low,37,Low,3,Low,2,Low,19,Low,40,Low
Pizza Hut,Pan Pizza Slices Supreme Personal Pan,Pizza,170,Low,30,Low,8,Low,3,Low,0,Low,15,Low,360,Low,18,Low,1,Low,2,Low,7,Low,40,Low
Pizza Hut,Pan Pizza Slices Supreme Medium,Pizza,270,Low,30,Low,13,Low,5,Low,0,Low,25,Low,500,Low,29,Low,2,Low,2,Low,11,Low,40,Low
Pizza Hut,Pan Pizza Slices Supreme Large,Pizza,390,Low,30,Low,20,Low,7,Low,0,Low,40,Low,740,Low,37,Low,2,Low,2,Low,16,Low,40,Low
Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Personal Pan,Pizza,170,Low,30,Low,8,Low,3.5,Low,0,Low,15,Low,330,Low,17,Low,1,Low,2,Low,8,Low,40,Low
Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Medium,Pizza,270,Low,30,Low,13,Low,5,Low,0,Low,25,Low,470,Low,27,Low,2,Low,1,Low,12,Low,40,Low
Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Large,Pizza,390,Low,30,Low,20,Low,8,Low,0,Low,40,Low,670,Low,36,Low,2,Low,2,Low,17,Low,40,Low
Pizza Hut,Pan Pizza Slices Veggie Lover’s® Personal Pan,Breakfast,140,Low,244.5762712,Low,5,Low,2,Low,0,Low,10,Low,290,Low,18,Low,1,Low,2,Low,6,Low,510.8305085,Mid
Pizza Hut,Pan Pizza Slices Veggie Lover’s® Medium,Breakfast,230,Low,244.5762712,Low,9,Low,3.5,Low,0,Low,15,Low,420,Low,29,Low,2,Low,2,Low,9,Low,510.8305085,Mid
